<b> Suppose you see a color fringe around the edges of your subject. Which control is best for removing the fringe?</b><br><ul><li>Color Noise Reduction</li><li>Remove Chromatic Aberration</li><li>Split Toning</li><li>Enable Profile Corrections</li></ul>,Remove Chromatic Aberration
"<b> If you want to apply the same editing from one image to another, what should you use?</b><br><ul><li>metadata</li><li>Image settings</li><li>Edit settings</li><li>Develop settingsNote: I just use synchronization. After digging into settings I was able only to discover Settings -> Copy settings.<br></li></ul>",Develop settingsNote: I just use synchronization. After digging into settings I was able only to discover Settings -> Copy settings.<br>
<b> Which module helps you create a printed photo album?</b><br><ul><li>Web</li><li>Book</li><li>Print</li><li>Library</li></ul>,Book
"<b> Review the image shown. What does the exclamation point adjacent to the thumbnail imply?</b><br><br><img src=""Q4.png""><br><br><ul><li>The image has been edited in Photoshop.</li><li>The photo is marked as picked.</li><li>The photo needs at least one keyword.</li><li>A photo is missing and needs to be relocated.</li></ul>",A photo is missing and needs to be relocated.<br><br>[Reference (adobe.com)](https://helpx.adobe.com/in/lightroom-classic/help/locate-missing-photos.html)<br>
<b> Adjusting the exposure of a raw file by -</b><br><ul><li>opening the aperture one f-stop</li><li>closing the aperture one f-stop</li><li>adjusting the ISO by +400</li><li>adjusting the ISO by -400</li></ul>,closing the aperture one f-stop
"<b> Review the image below. Which option lets you manually straighten a photo by drawing a vertical or horizontal line?</b><br><br><img src=""Q6.png""><br><br><ul><li>A</li><li>B</li><li>C</li><li>D</li></ul>",B
"<b> Suppose you want to migrate a selection of images to another machine. How can you create a new catalog that contains a copy of all the images?</b><br><ul><li>Use the Export as Catalog command.</li><li>When you back up the catalog, the images are backed up as well.</li><li>Use the Export command.</li><li>Use the Import from Another Catalog command.</li></ul>",Use the Export as Catalog command.<br><br>[Reference (adobe.com)](https://helpx.adobe.com/lightroom-classic/help/create-catalogs.html)<br>
<b> Which Spot Healing Brush mode replaces an imperfection with an exact copy of pixels from another area?</b><br><ul><li>Patch mode</li><li>Screen mode</li><li>Healing mode</li><li>Clone mode</li></ul>,Clone mode
"<b> When reviewing images, what task can be accomplished using the number keys?</b><br><ul><li>finding images</li><li>printing images</li><li>selecting images</li><li>applying ratings</li></ul>",applying ratings
<b> What's the easiest way to reuse your most recent custom export settings?</b><br><ul><li>Click File > Export with Previous.</li><li>Click File > Export with Preset.</li><li>Click File > Export as Catalog.</li><li>Click File > Export Again.</li></ul>,Click File > Export with Previous.
"<b> In the image shown, what do the blue areas indicate?</b><br><br><img src=""Q11.png""><br><br><ul><li>crushed details in the shadows</li><li>a special effect applied to the image</li><li>too little saturation in the image</li><li>crushed details in the highlights</li></ul>",crushed details in the shadows
"<b> When exporting an image, which sharpening method is best for use on displays?</b><br><ul><li>Glossy Paper</li><li>Screen</li><li>Internet</li><li>Matte Paper</li></ul>",Screen<br><br>[Reference (digitalphotomentor.com)](https://www.digitalphotomentor.com/the-guide-to-image-sharpening-in-lightroom/)<br>
<b> Which Develop module panel lets you adjust an image based on a color range?</b><br><ul><li>HSL/Color</li><li>Split Toning</li><li>Calibration</li><li>Basic</li></ul>,HSL/Color
<b> Which file type will work with the Enhance Details command?</b><br><ul><li>raw files</li><li>PSD</li><li>JPEG</li><li>TIFF</li></ul>,raw files
"<b> Suppose that while using the Post Crop Vignetting tool, the Highlights slider is grayed out. What is the most likely cause?</b><br><ul><li>You are using the Paint Overlay style.</li><li>You are editing a raw file.</li><li>You are using the Color Priority style.</li><li>You are using the Highlight Priority style.</li></ul>",You are using the Paint Overlay style.
"<b> In the image shown, what is the icon circled in yellow?</b><br><br><img src=""Q16.png""><br><br><ul><li>Virtual copy</li><li>Synced with Lightroom</li><li>Metadata conflict warning</li><li>Missing photo</li></ul>",Metadata conflict warning
